author,content
ladygaga,I ❤️these kids @AlbertKennedyTr Us at the @BTWFoundation want you to #ShareKindness and donate to these homeless LG… https://t.co/yHZ0U7WnQN
ladygaga,My #VSFashionShow performances are on VEVO! Watch #MillionReasons now: https://t.co/XTvd0fxnnO
ladygaga,❤️❤️❤️❤️ https://t.co/ioVvWDTtjx
ladygaga,I wrote a letter sharing my experience w/ PTSD. I want 2 help others understand what it is + how to get or give help https://t.co/7wmuvNLcT5
ladygaga,It wasn't just sexual assault that led to my complex PTSD. I have prolonged repetitive traumas over the course of m… https://t.co/EZ9JP3JAAK
ladygaga,"⚡️ “Lady Gaga at the #VSFashionShow ! @ladygaga ” by @Haiirtz
and VEVO links to my performances coming up 👠🎸🎤😇🎥
https://t.co/T5w8oMG4IT"
ladygaga,Thank you to the musical singing angel fashion Queen @TheRealDaphne for lending me these major purple heels. Thank… https://t.co/A2NDi8j9kV
ladygaga,"Was rockin this archive Gianni Versace look today in honor of Donatella Versace's new book,. She is an amazing &amp; in… https://t.co/23zPbZFBq4"
ladygaga,Watch me perform with some fierce dark angels at #VSFashionShow . When my lil sissy @GiGiHadid fist pumped to John… https://t.co/U7iMwCiZSf
ladygaga,Thank you to @TheXFactor + UK monsters for last night 😘 #MillionReasons is available now for 59p on @AppleMusic UK… https://t.co/NnS424bGs3
ladygaga,Tonight I wore a dress by designer @Brandonmaxwell https://t.co/iEq7Artd03
ladygaga,"i love the dress @Brandonmaxwell made for me tonight. Special dress. Special evening. So many inspiring artists, a… https://t.co/DnAJ39J02w"
ladygaga,Whose watching the Victoria Secret Fashion Show?💕👑👙😇 https://t.co/xETICa3xIW
ladygaga,So excited for #vsfashionshow tonight! We'll see you there! 💋🎶 https://t.co/OKobn4hB1u
ladygaga,Today I shared one my deepest secrets w/ the world. Secrets keep you sick w/ shame ❤️Watch this video #ShareKindness https://t.co/Rynfxekz3Z
ladygaga,"To the LGBTQ's @AliForneyCenter thank you for sharing your stories, trauma &amp; pain with me &amp; the world today. Your kindness is contagious. ❤️"
ladygaga,Watch @TODAYshow at 8am EST learn how my foundation will partner with @NBC. Let's inspire suffering youth to be kin… https://t.co/rcBiRsFpJr
ladygaga,❤️💋🎤SEE YOU THERE 🎤🎶❤️✌️️ https://t.co/lC8B97qXQz
ladygaga,Watch me! #GagaOnXfactor singing my song #MillionReasons from my new album #Joanne 🇬🇧🎤 https://t.co/gb1XB3XGsD
ladygaga,"Thank u I love u &amp; my UK fans so much! Good luck to the contestants. Follow ure dreams no matter what, u can do any… https://t.co/eq0d8Dpqcp"
ladygaga,Tomorrow @BTWFoundation launches #ShareKindness with @TODAYshow in NYC! Head to 30 Rock at 10am + say hi to @momgerm @menista + Team BTWF
ladygaga,"If you haven't yet, watch my backstage 🎶 singalong music video of #MillionReasons with the Victoria's Secret Angels… https://t.co/WdFsAPL25g"
ladygaga,"⚡️ “Lady Gaga fans enter Pepsi Halftime contest!” by @GovnHooker

https://t.co/ltQ9fWijJJ"
ladygaga,Thank u all my angels 👼 for helping me remind the world that we all have an angel inside us 💖 Love u girls!!… https://t.co/cl75mrPBao
ladygaga,This is the sentiment of #Joanne. Thank you @YolanCris for this romantic dream of a dress. No stretch lace couture… https://t.co/S3E2dfj0qY
ladygaga,Thank you Alaia for this beautiful one of a kind dress. It was so warm for the holidays it felt like you were huggi… https://t.co/8nQR8SzBro
ladygaga,I ❤️him and also the #JoanneVibes hat. That @aliciakeys has a 24k set of ears! https://t.co/1D5v9yWgKs
ladygaga,These girls show tremendous vulnerability and strength entertaining the 🌎in this show. Was proud to be there just t… https://t.co/0TtkSYxsvY
ladygaga,So much girl fun! 👄. https://t.co/HQV6xhWGBR
ladygaga,Thank u @faspiras @SarahTanno for the beautiful hair and makeup. You are legendary! 👄👱‍♀️💅 https://t.co/TxhRzPTmNT
ladygaga,Thank you &amp; thank you to my brilliant friend ALAIA for the beautiful lace gowns I wore for the pink carpet and  fin… https://t.co/Lkl5JUboPp
ladygaga,Couple bruises from dance rehearsal but love rocking this silver VS! Thank you to the Angels 👼 for treating me like… https://t.co/xZ97oX9do3
ladygaga,"Thank you so much Michelle, such a kind thing to say really so sweet https://t.co/aY4jbnB9ha"
ladygaga,Thank u so much I could feel all of France through the microphone I swear it was like giving u a big KISS💋💋💋💋 https://t.co/J4k3PGe76q
ladygaga,In Hedi Saint Laurent https://t.co/i0oKS3t0Fh
ladygaga,I ❤️ him 😇 https://t.co/hKj4G0IfJy
ladygaga,"Monsters surprised me outside ALAIA's singing Joanne. One even let me have a go with her guitar, her hands were col… https://t.co/m9fKmtruMi"
ladygaga,Go @ccuevasmusic you've got my vote! https://t.co/l4vUXHNghA https://t.co/WwDQPRN6mY
ladygaga,😘 with my angels! @GiGiHadid @bellahadid #VSFashionShow https://t.co/qcVQP9RyaB
ladygaga,Thank u @CBSSunday 💖 https://t.co/DcVd0MIMZg
ladygaga,I'm so sorry. It's a sincere honor to be on his gravestone. He's rock n roll n up in heaven and we're all here for… https://t.co/tC07KU0mst
ladygaga,🙏that makes me so happy I hope my voice and the instrumentation feels like the warm hug and wild release of pain I… https://t.co/5PcUEpllyN
ladygaga,"Thank you so much Sarah. I wrote it from my heart &amp; soul hoping it would be healing, an album that's a harbor for s… https://t.co/qP6H7aCK5d"
ladygaga,"Thank you 😊 ""head stuck in a cycle I look off and I stare,"" it is very personal to me...this is just the beginning… https://t.co/R2iI7uFePZ"
ladygaga,I spent a beautiful morning w/ 🏳️‍🌈 youth @AliForneyCenter the largest drop-in center in the 🌎. I brought 🎁&amp; led th… https://t.co/16aIOq2fM9
ladygaga,Happy Thanksgiving beautiful 🇺🇸. I'm grateful to be alive on this 🌎 w/ u. Enjoy loved ones today &amp; eat w/ gratitude… https://t.co/K6w1EM90iy
ladygaga,". @kanyewest i support &amp; love u brother, I see in you bravery &amp; courage to stop this tour &amp; take care of YOU. You are a GREAT artist 🎨💋"
ladygaga,While I don't agree with everything he does I hope the public shows compassion and ❤️for @kanyewest and each other. One love. One Race.
ladygaga,"It's not funny to joke about anyone's possible or not possible mental illness, this is a sensitive time for many. Let's be kind &amp; loving. ❤️"
ladygaga,"NYC monsters, my dad is signing cookbooks for you tonight! 🍝💕 https://t.co/KcRL4aCHB8"
ladygaga,Thank You @OfficialRodarte for designing an outfit I felt perfect in for my performance. She laid real sweet behind… https://t.co/PqLAIThJzG
ladygaga,Last night's scene was a replica of my backyard where I spend lots of time lookin out over my property line prayin'… https://t.co/K7TXtLD4zC
ladygaga,POSITIVE I HAD THE BEST DATE O' THE NIGHT @karliekloss proud sitting next to a woman who is beautiful from the insi… https://t.co/XIVhGKl5Nc
ladygaga,"Thank you @AMAs for great night. We laughed, we cheered, we cried. Thanku to my amazing fans for givin' me a… https://t.co/vXWJdQD2so"
ladygaga,"@catelynkham thank u so much, I just wanted to share a big piece of my heart w you."
ladygaga,. @zaynmalik @GiGiHadid have fun tonight u two gorgeous kids! Celebrate you're on top of the world! 😍❤️🙏
ladygaga,"I'm so excited to share a piece of my heart with you tonight. See you from the stage America. Xoxo, Joanne. @AMAs
8… https://t.co/7eKy8Twi5q"
ladygaga,#AMAs Rehearsal! #Joanne and her vibes are rollin' though!! 💕💕 https://t.co/cp7jQ8GT2s
ladygaga,Happy Birthday to my debut albums The Fame &amp; The Fame Monster🍾🍰 https://t.co/Lstif0fkBZ
ladygaga,"@MarieLovina thank you my angel, it means so much to me."
ladygaga,@QUAN_DISNEY which tunes
ladygaga,@LilinWitch yes
ladygaga,@xylark @JoanneTheNight I understood I just was asking WHY in particular it flew. 😑
ladygaga,I second that motion! Happy Birthday you fearless icon of breaking boundaries!💕💕🍰🍾 https://t.co/OkqCqAsRhq
ladygaga,@mileyisworth THATS a Very sweet thing to say!! 😍
ladygaga,Yes 🇺🇸💪🏿💪🏽💪🏻💪🏼💪 https://t.co/k6mXo6q6bI
ladygaga,"When I wrote this album I thought about reaching out to the ❤️of our 🇺🇸land. On the cover I'm lookin' out, with LOVE https://t.co/vmCs264Zjw"
ladygaga,". @megynkelly on @CNN very interesting, important, 🇺🇸unifying, and also healing for some women who need it now, thank you. Check it out!💁"
ladygaga,@sinnersprxyer I am so fortunate to sing with him
ladygaga,@JoanneTheNight what happened 😍????
ladygaga,"In silence now the day descends
Goodnight to you,
And all my friends. https://t.co/BTpgSo7TG5"
ladygaga,"Midnight blues
black leather shoes
get Joanne's hat
she's on the move https://t.co/1EOzoM3PQ3"
ladygaga,https://t.co/HSjevlnxOH
ladygaga,"🎶Girl, where do you think you're goin' where do u think...🎶🌸

Apple Music:
https://t.co/OO6XPZe7no

Spotify:
https://t.co/qEzRdbkHUk"
ladygaga,"I don't know about you, but I feel something healing when I listen to this album. #JOANNE https://t.co/vmCs264Zjw"
ladygaga,"Dad's Joanne Trattoria Cookbook comes out Nov 22! Family recipes + great memories, the best gift for the holidays 🎁😁 https://t.co/T9z6lkLSwa"
ladygaga,are you a YOUNG WILD AMERICANS? #Joanne https://t.co/h7adcVpdxI
ladygaga,🤗😍😘🤓🎉🎉 https://t.co/QPyLQNvKsT
ladygaga,"Your letter really moved my heart. Thank you so much for the beautiful words about the album, about your healing, a… https://t.co/ugE1A4bay1"
ladygaga,🇺🇸✌️ listen up protesters https://t.co/l3baPucig1
ladygaga,Everyone Google STEVE BANNON and pay some real attention. 🇺🇸
ladygaga,"""Being a lady today means being a fighter. It means being a survivor...it takes great strength to do that.""
🇺🇸👒… https://t.co/4YDaOTfGHQ"
ladygaga,"""I never thought I'd say this, but isn't it time to take off the corsets? As someone who loves them, I think it's t… https://t.co/shGhkwYrCQ"
ladygaga,???? https://t.co/nwNo82s7wP
ladygaga,"Our country is in a state of distress, full of shame and shock, it speaks volumes to me. Be peaceful. Be steadfast &amp; consistent. Be heard. 🎤"
ladygaga,Anti-Trump Protests growing larger and larger in America. https://t.co/yyPzSzcA09
ladygaga,😍 https://t.co/9nsLnkbBvr
ladygaga,"Thanku @GreenDay 4 writing this song. It got me through when I was a lil' girl &amp; gets me through now. #Election2016
https://t.co/ZQRXUdceLj"
ladygaga,I wish it was illegal to use any form of hate-speech when the final candidates are campaigning for presidency.
ladygaga,🙏 for no violence during these protests. Be the change you want to see. Don't fight hate-speech w/ more hatred. Stand up w/love &amp; courage 🇺🇸
