author,content
taylorswift13,"Met up with @ZaneLowe to talk about #1989WorldTourLIVE- airs tomorrow at 9am PST on @Beats1
https://t.co/rzGwjF4mYn https://t.co/gaF0k62cqt"
taylorswift13,"Thank you so much for all the birthday wishes. I have a little surprise for you.
#1989WorldTourLIVE @applemusic
https://t.co/actZbWBt4R"
taylorswift13,Today I begin my 26th year of freaking out over stuff. https://t.co/HjWAE7sluQ
taylorswift13,"Farewell, 1989 World Tour. 💔❤️ https://t.co/YraKYoIMkK"
taylorswift13,"The 1989 World Tour is officially over, the most beautiful chapter in our story so far.. Thanks to you."
taylorswift13,can we get a selfie tho https://t.co/UscfTtwMxC
taylorswift13,"Thank you, Brisbane, for an epic night. You guys are incredible ❤️ https://t.co/cgNII9P3ps"
taylorswift13,"Me: Please love me.
Kangaroo: No. https://t.co/9CLnECzgF1"
taylorswift13,Making friends on Hamilton Island. https://t.co/26SLoiCUZt
taylorswift13,"Swift family road trip!
South Island, NZ

@austinswift7 https://t.co/xxhiHwNnSk"
taylorswift13,"I love you, Sydney.
All 76,000 of you. https://t.co/URV3YlAtlT"
taylorswift13,Praying for Paris. Our hearts are breaking for and with you. https://t.co/8tQF6QHyz6
taylorswift13,"Farewell, Shanghai!!
💋 https://t.co/UOwfdCAtar"
taylorswift13,I loved playing Shanghai last night-- so stoked to play 2 more shows here!! https://t.co/nzFCEdOdQN
taylorswift13,@NRJhitmusiconly Merci!!!! 🇫🇷🇫🇷🇫🇷💋💋💋
taylorswift13,Congratulations on your CMA wins @KeithUrban @ericchurch @FLAGALine @MaddieandTae and @macmcanally!! Sending you hugs from Singapore 🏆🏆🏆🍾🍾🍾
taylorswift13,Sending congrats from Singapore to Nashville to my friends who won CMAs tonight! @lukebryan @mirandalambert @chrisstapleton @littlebigtown
taylorswift13,"Elevator Elsa!!! Amazing.
@idinamenzel
https://t.co/pNpr9PKF26"
taylorswift13,Sharing a stage with @alessiacara and @idinamenzel was the perfect way to end this amazing chapter. Thanks ladies ☃💕 https://t.co/7UvqdtP5qM
taylorswift13,"""The cold never bothered me anyway""
*QUICK CHANGE*
@idinamenzel
#letitgo #1989TourTampa https://t.co/Ua6JcGk8or"
taylorswift13,"I honestly couldn't be more impressed by @alessiacara. 55,000 people and she was absolutely fearless. https://t.co/btwupLZCLv"
