author,content
justinbieber,UK. #PurposeTour merch is now at @Selfridges https://t.co/CLEDgQQ3uj https://t.co/56v7e8sRvO
justinbieber,London in next #PurposeTour
justinbieber,@R1Breakfast no I haven't
justinbieber,@LatinAMAs gracias
justinbieber,#PurposeTour OZ/NZ @Bkstg pre-sale is now live https://t.co/A67rJosbBI https://t.co/TBXt17ZowX
justinbieber,Proud of my buddies https://t.co/4vc0qfmSyA
justinbieber,Great show https://t.co/jgtRbU4RHC
justinbieber,"Listen to Illuminate (Deluxe) by Shawn Mendes on @AppleMusic.
https://t.co/vXuOt3pYgn"
justinbieber,Shawn Mendes voice makes me smile. Truly a gift to be able to move peoples emotions through songs!So proud of you brother!Great album!
justinbieber,Go get #illuminate @ShawnMendes
justinbieber,Australia and New Zealand. Bringing #PurposeWorldTour and my bro @MartinGarrix in March https://t.co/lDlXpd9Cyk https://t.co/AKgkj5ervE
justinbieber,This is important. A friend showed me this. I'm going to be talking more about this. We all need to pay attention https://t.co/u4tzbEkFo5
justinbieber,Thanks https://t.co/PCVq22Gwhn
justinbieber,Thank you 🇩🇰 #PurposeTour
justinbieber,Tomorrow #whereareunowOZNZ https://t.co/wXCUiFQ4Rc
justinbieber,Right now at storm. #PurposeTour Copenhagen pop up https://t.co/a64IKtAYO3
justinbieber,Do you have this? https://t.co/aILDyJMaQ9
justinbieber,@MartinGarrix don't sleep
justinbieber,Oz and New Zealand dates next week #PurposeTour
justinbieber,Who has #PurposeTour merch??
justinbieber,Sweden 🇸🇪 #PurposeTour
justinbieber,My dad is using https://t.co/ovRcmcIh4f to protect my brother and sister on the internet. Check it out and protect your family :)
justinbieber,I love Europe
justinbieber,My favorite video on the internet 😂😂😂😂😂😂😂😂 https://t.co/oJOqMMyNvw
justinbieber,@VicMensa thanks
justinbieber,I'm Canadian and I stay out of this stuff but I live in the us and this is important. Register. https://t.co/t9PD9L7984
justinbieber,I love Beyoncé https://t.co/UpnxUh3QTi
justinbieber,@SB_Projects but me first 😂😂.  Naw Marty first
justinbieber,Vic just opened for me on tour. Great guy. This is a cool doc https://t.co/u2svF68Txg
