031,1
1,35
10,9
100,5
1000,1
1027kiisfm,3
1050pm,1
109,2
109c,1
10pm,2
10th,1
11,6
1159pm,1
12,3
1231,1
1287,1
13,16
13daystil1989worldtour,1
13s,2
13th,10
13…,1
14,1
14000,1
142,1
15,2
15000,1
17,1
17000,1
18th,1
1950s,2
1975,1
1989,61
1989lyrics,16
1989secretsessions,16
1989tourarlington,1
1989touratlanta,1
1989tourbossiercity,1
1989tourcharlotte,2
1989tourchicago,3
1989tourcleveland,2
1989tourcologne,3
1989tourdetroit,5
1989toureastrutherford,3
1989tourfoxborough,2
1989tourgreensboro,2
1989tourhouston,3
1989tourindy,1
1989tourla,5
1989tourlexington,1
1989tourlosangeles,2
1989tourlouisville,2
1989tournashville,5
1989tourottawa,1
1989tourphilly,4
1989tourpittsburgh,4
1989tourraleigh,2
1989toursandiego,2
1989toursantaclara,1
1989tourstlouis,2
1989tourstpaul,1
1989tourtampa,2
1989tourtokyo,2
1989tourtoronto,1
1989tourwashingtondc,1
1989worldtour,5
1989worldtourlive,4
1993,1
1994,1
1daytil1989worldtour,1
1future,1
1hourtil1989,1
1monthtil1989,1
1pm,1
1s,1
1st,1
2,35
20,2
20000,2
2002,2
2005,2
2008,1
2009,1
2011,1
2013,3
2014,4
2015,4
2016,1
208,1
20daystil1989worldtour,1
21,1
21st,1
22,11
22nd,1
23,2
23rd,3
24,7
241,1
24hrvevorecord,3
24th,2
24yearold,1
25,2
25th,1
26,1
26000,1
26th,1
27,1
2am,2
2daystil1989,1
2nd,1
2pm,1
3,20
30,3
300,1
30daystil1989worldtour,1
31,2
316,1
31st,1
35,1
375,1
38,1
3am,1
3daystil1989worldtour,1
3hourstil1989,1
3hourstiloutofthewoods,1
3rd,3
4,9
40,4
40daystil1989worldtour,1
43,1
430,1
430pm,1
440,1
45,2
4kingandcountry,1
4th,7
5,15
50,3
500,1
50000,4
52000,2
55000,3
5am,1
5daystil1989,1
5th,3
6,8
60,3
60000,5
60s,1
622,1
63,1
65,1
650k,1
66,1
6daystil1989,1
6th,2
6yearold,1
7,9
70,1
749,1
75,1
753,1
754,1
76000,1
79,1
7am,3
7et6,1
7pm,2
7th,1
7yrold,1
8,6
80,1
80000,1
8001000,1
810,1
85,1
87c,1
87ct,1
89,1
8daystil1989,1
8et,1
8pm,4
8th,1
9,6
